위치ID,위치명,X좌표,Y좌표,지역코드,여행목적,여행일수,평점
POI010000006M8HER,MS프라자,127.1123125,37.37813368,41135,1;26;27,3.0,5.0
POI01000000BSCGYP,서귀포시공영주차장,126.5632316,33.25015006,11680,22;26;4,1.0,4.0
POI01000000B6GUQD,팔달문시장,127.0176665,37.27720338,41115,1;24;4,1.0,3.333333333333333
POI01000000C652DY,e편한세상시티삼송아파트105동,,,41281,5;3;9,1.0,5.0
POI010000006GJG6N,우래옥,126.9987092,37.5681851,11140,,,5.0
POI01000000BXPOZG,중앙시장,128.8985663,37.7539833,41630,22;9;6,1.0,3.166666666666667
POI010000006W76CN,제주중문대포해안주상절리대방문객센터,126.4260174,33.23799399,11590,,,3.0
POI010000006M01LA,에녹빌딩,127.0352575,37.4862203,11680,6;3;23,3.0,4.5
POI01000000AM0BNQ,바라산자연휴양림,127.0196199,37.3728728,41430,5;8;28,2.0,3.3333333333333335
POI010000006FJFHW,파주삼릉,126.8028655,37.55894903,41480,3;2;21,1.0,5.0
POI01000000B1SAGQ,펜션갤럭시,,,28110,3;12;25,3.0,5.0
POI01000000AM1QI1,가락동농수산물종합도매,,,11710,21;23;26,1.0,4.0
POI010000006K8B8D,대선빌딩,,,11200,1;7;27,2.0,4.0
POI01000000ALSLRV,(주)비져디자인,126.5203074,33.51553467,41590,13;3;21,1.0,4.333333333333333
POI01000000B280TA,죽향문화체험마을죽녹원,126.9859309,35.32783715,41610,2;21;22,2.0,4.666666666666667
POI01000000EHGAVC,제주아리랑혼,126.7786436,33.40269826,11410,6;11;9,3.0,3.0
POI010000006EG545,플러스병원,,,28185,1;23;4,2.0,4.0
POI01000000BY377M,천주교분당요한성당,,,41135,13;21;3,1.0,5.0
POI01000000C5AFCE,덕일맨션B동,,,41133,22;24;2,2.0,4.0
POI01000000B1CDYV,GLADHOTELS,126.9172764,37.5274045,44131,2;23;26,2.0,4.666666666666667
POI010000006FWA1O,HN수변프라자,126.6789528,37.6420878,41570,,,3.6666666666666665
POI01000000C0O826,반달삼익아파트/1824동,,,41190,21;24;26,1.0,4.0
POI01000000BXT489,춘천역사,127.7166986,37.88451274,43130,,,4.0
POI010000006N2HFN,미주프라자,,,41465,1;21;24,1.0,3.0
POI010000006B4GDA,오죽헌,128.8773206,37.77951443,41290,,,2.3333333333333335
POI010000006W8KI8,해비치호텔앤리조트,126.8446725,33.32144142,41115,,,4.5
POI010000006LYOGP,세윤빌딩,126.9909213,37.57390761,11650,2;6;28,3.0,4.666666666666667
POI010000006KJD9R,한국기술센터,,,11680,,,4.0
POI010000006BE43Y,오색다가구주택,128.4220668,38.08124608,11110,6;1;11,1.0,4.0
POI010000006NAM5Q,러버하임펜션,,,41820,2;22;26,2.0,3.6666666666666665
POI01000000C4RE3K,퍼스트모던타운1동,,,41190,6;22;26,1.0,3.3333333333333335
POI010000006E4PKT,호텔아띠,126.6216093,37.47428012,11620,4;2;6,2.0,4.0
POI01000000BS5Q71,서울고속버스터미널강남웨딩컨벤션꽃도매상가신한은행365일바로바로코너,,,11650,22;4;7,1.0,5.0
POI010000006NM41G,와와중국어학원,127.4434457,37.28141991,41500,11;2;21,2.0,5.0
POI01000000C7TF8V,메트로타워,127.0470098,37.7341875,41150,25;21;11,2.0,3.0
POI01000000B3PPH5,안정빌딩,,,41220,1;24;4,1.0,5.0
POI01000000C28VN0,국제파크아파트,129.0997569,35.20557493,41820,,,5.0
POI010000006JGPVL,율전파크모텔,,,11620,3;10;13,2.0,3.3333333333333335
POI010000006MZCXW,장안공원화장실,127.0117957,37.28695696,41115,3;4;21,1.0,4.666666666666666
POI010000006IQTSV,영진자동차공업사,126.3152821,33.30475888,11440,,,4.666666666666667
