위치ID,위치명,X좌표,Y좌표,지역코드,여행목적,여행일수,평점
POI010000006YX4NO,용인대사천체육관,,,48240,28;22;9,1.0,5.0
POI010000006VQ7B5,윈모텔,,,48220,12;22;2,2.0,4.666666666666667
POI010000006D57UL,SK네트웍스단계주유소,129.2882037,35.8436069,42130,,,3.6666666666666665
POI01000000BXPHT3,동부시장,128.9009437,37.7600195,42150,3;2;13,4.0,2.3333333333333335
POI010000006J3PJW,고잔역,126.8224705,37.31682529,48170,2;3;9,1.0,4.0
POI01000000B7UYQW,카이저웨딩카,,,47850,5;21;27,2.0,4.0
POI01000000AMGA5N,한화리조트용인,127.1441266,37.13166128,47290,,,4.0
POI01000000BZMM0E,송공여객선터미널,126.2269336,34.8484914,48240,2;3;22,4.0,5.0
POI01000000B2NI2G,변산블루베리,126.3949471,33.41756184,31170,22;6;1,2.0,5.0
POI01000000BG0YQB,서울고속버스터미널,127.0069895,37.50607506,42830,1;22;12,2.0,5.0
POI01000000C20E6U,"명지더웨스턴아파트,110동",,,26440,28;21;22,1.0,5.0
POI010000006PIPKI,세종호수공원,127.2734214,36.49793779,42110,4;22;26,1.0,3.0
POI0100000076QLEY,경원프라자,129.3210437,35.52824094,48123,9;25;2,1.0,5.0
POI010000006BA3PF,묵호등대해양문화공간,,,42170,22;26;21,1.0,5.0
POI01000000EGX591,롯데영프라자,,,48123,,,5.0
POI01000000C29MY3,트럼프월드센텀아파트/센텀한의원,,,26350,,,5.0
POI01000000B1012B,담터펜션,,,42780,3;24;22,2.0,4.0
POI01000000C99DSV,형제빌라,,,26350,22;2;1,1.0,3.0
POI010000008VOMNW,한식집,129.2147528,35.8425666,47130,,,4.333333333333333
POI01000000B5KAW2,영종하늘도시오션테라스,126.578651,37.49509836,26140,25;2;13,2.0,3.0
POI01000000C0UG0I,동아효성아파트/203동,127.1466437,37.48964757,42150,3;2;22,1.0,5.0
POI01000000BYXFR8,일산해수욕장,129.4308985,35.4957863,48123,9;25;2,1.0,5.0
POI01000000BT5RXT,대구시민운동장핸드볼장,,,27230,5;3;2,2.0,2.3333333333333335
POI010000006VWN1H,동문공영주차장,126.528046,33.51222039,26200,24;1;22,1.0,2.3333333333333335
POI010000006SHQ01,신라스테이,129.3291312,35.53739561,27230,22;26;4,2.0,5.0
POI010000006TZFT2,부산대지하철역,,,26410,22;4;6,1.0,4.0
POI01000000BGP74N,행랑채,,,48270,3;12;22,1.0,4.333333333333333
POI01000000BZ4VJO,매트로빌리지,128.7097894,36.5709759,47170,3;6;24,3.0,4.0
POI010000006U2IM2,경주이씨김해화수정,,,48250,3;2;12,2.0,4.0
POI0100000078WI5U,소백정원펜션,,,43150,,,5.0
POI01000000B6YJB5,괴산재,,,48730,9;22;12,1.0,4.5
POI01000000BGW8TK,문경약돌한우타운,,,47280,6;9;11,1.0,5.0
POI01000000B2TJL6,경기전사적지339호,127.1497299,35.81538665,42150,,,4.333333333333334
POI010000006YTPJ1,진주논개시장,128.0847476,35.19510202,48170,9;2;22,2.0,4.0
POI01000000DPFW8H,황남츄로스,129.2097229,35.8389925,47130,,,5.0
POI01000000BXSIJX,예그린한의원,,,42130,,,4.0
POI0100000076T1IL,광안여름경찰서,,,26500,,,3.6666666666666665
POI01000000BZDH66,산성중학교,128.6966734,36.12779521,48121,22;24;4,2.0,4.333333333333333
POI01000000C8BJKU,예하빌,,,48170,9;3;4,2.0,3.3333333333333335
POI010000006D523P,BIZINN호텔,,,11710,6;21;23,2.0,5.0
POI01000000C1PXUP,신곡서해그랑블아파트/101동,127.0601838,37.7302661,47770,22;23;26,2.0,5.0
POI010000006CSKD3,강남프라자,126.3577307,33.36627759,42110,1;22;26,1.0,4.333333333333333
POI010000006VQ6NG,이마트에브리데이,,,48310,6;22;26,1.0,2.0
POI01000000BZM181,황천야영장,,,46730,,,4.666666666666667
POI0100000075V5V3,허가9425,,,42210,2;11;1,3.0,4.0
POI0100000076QTB3,공성종합상가,,,48121,,,3.0
POI0100000075V5MU,속초상공회의소,,,42210,,,2.3333333333333335
POI01000000BXT9BH,남춘천역,127.7238189,37.86405408,42110,1;3;22,1.0,1.0
POI01000000C059DZ,청주시외버스터미널,127.4317027,36.62533844,47130,2;3;22,2.0,4.0
POI010000006UEDTG,우리아비바생명빌딩,,,26170,1;4;26,2.0,3.0
POI01000000B4ZXOV,하늘나래원,,,42130,,,5.0
POI0100000072CKIJ,우석대학교신학협력관,127.1527305,35.81522785,42150,,,2.6666666666666665
POI0100000075Y5AL,스카이베이경포호텔,128.9077403,37.80431035,11620,12;2;5,2.0,5.0
POI01000000B5A8RL,경호회집,128.7669634,35.59539599,42210,22;24;3,2.0,4.666666666666667
POI01000000BUYV5Z,발리모텔,127.9197153,37.02533743,47190,9;2;11,2.0,3.3333333333333335
POI01000000BYXDS7,가지산도립공원,,,48330,,,5.0
POI010000006ACISY,동강생태공원,,,42750,8;3;28,2.0,5.0
POI0100000076Q5BF,사림빌딩,,,48121,6;22;24,1.0,2.6666666666666665
POI010000006UH2AP,서면피에스타,,,26230,1;23;26,3.0,4.166666666666666
POI01000000B85K9D,달모루게스트하우스,,,47130,,,4.0
POI0100000075VHWG,보노보노펜션,128.5422574,38.310515,11710,,,5.0
POI0100000073FF88,경주교육문화회관,129.292028,35.83751896,47130,2;3;27,2.0,4.0
POI01000000CD9XD4,용연구름다리,126.5143922,33.51488321,42130,,,2.3333333333333335
POI01000000B4KUPE,현대오일뱅크여주충전소,126.1679325,33.32085731,41670,,,3.3333333333333335
POI010000006UH56O,양제빌딩,129.06007,35.1555067,26230,11;1;22,4.0,3.0
POI01000000BGH2TZ,오션모텔,,,27710,22;3;1,2.0,4.0
POI0100000073JZVJ,경북산림환경연구원,,,47130,22;26;3,1.0,2.6666666666666665
POI01000000B2F6F9,동정산장,127.6401254,35.2531506,48850,5;12;21,1.0,3.6666666666666665
POI01000000AN2LJZ,토요코인호텔,129.3407341,35.5396028,26530,28;4;1,2.0,4.0
POI01000000C208VD,부산명지중흥S클래스프라디움아파트/103동,,,26440,,,5.0
POI010000006U0905,경주집,129.0770973,35.2789685,26410,3;4;23,2.0,3.6666666666666665
POI01000000BYRDPY,물금역,128.9853192,35.30715678,48330,2;6;22,1.0,3.6666666666666665
POI010000006BARHV,밝은나루펜션민박,129.03227,37.6911912,42150,23;22;26,2.0,4.666666666666667
POI010000006DKR4U,해양레일바이크,129.3042152,37.2897996,42230,,,3.6666666666666665
POI01000000B6WD5R,올리프라자,,,48127,9;23;4,1.0,4.0
POI010000006IQU59,협심빌딩,128.6915137,37.21368228,41171,3;2;22,1.0,5.0
POI01000000EBRRFI,이호테우해수욕장,126.4526908,33.4973768,42130,,,3.3333333333333335
POI01000000B57VO2,장호민박,129.3137676,37.2848533,42230,,,3.0
POI01000000764WV4,호텔마틴,128.8714121,35.2584987,48250,2;11;3,2.0,4.0
POI010000006CPYRS,명가춘천막국수,,,42110,,,1.3333333333333333
POI01000000CZ998X,덴바스타,129.0627683,35.1431385,26230,,,4.0
POI0100000073CPLS,양동마을문화관,126.5768627,37.69155005,47130,2;3;22,1.0,3.6666666666666665
POI01000000ALXFPS,흥덕U타워지식산업센터,,,41463,,,4.0
POI010000006DKUWP,성일민박,,,42230,2;7;5,2.0,4.333333333333333
POI01000000B8G331,안동스터니센터,128.6990269,36.5607107,47170,3;6;25,3.0,5.0
POI01000000BZB8WL,경주동궁과월지,129.2269755,35.83477626,47130,3;4;9,1.0,5.0
POI01000000C8URUV,태화강캐슬,,,31110,21;27;26,2.0,5.0
POI0100000085BKAE,롯데리아부산민락점,129.1245866,35.1558128,26500,22;6;7,2.0,3.5
POI010000006B7INP,평창송어축제장,,,42760,1;3;9,1.0,4.0
POI0100000069T5MV,태화관식당,,,47280,21;24;11,1.0,5.0
POI0100000075YME6,IL내린천주유소양양방향,,,42810,28;9;1,1.0,3.0
POI01000000B5AJIN,설악파인리조트,,,42190,1;3;26,2.0,2.0
POI01000000AMVI8D,광안지웰에스테이트,127.7282284,37.8821512,26500,1;21;22,2.0,5.0
POI010000008VWE3C,동아낚시,129.2096887,35.8392938,47130,3;11;22,2.0,5.0
POI0100000076ELJR,감내어울터감천문화마을커뮤니티센터,129.0094283,35.09630013,26380,,,4.0
POI010000006B8OW5,회산LH천년나무2단지아파트,,,42150,24;4;22,1.0,5.0
