TRAVEL_ID,TRAVEL_NM,TRAVELER_ID,TRAVEL_PURPOSE,TRAVEL_START_YMD,TRAVEL_END_YMD,MVMN_NM,TRAVEL_PERSONA,TRAVEL_MISSION,TRAVEL_MISSION_CHECK
g_g012194,G06,g012194,13;21;3;6;9,2023-09-09,2023-09-10,,충남 방문/거주지 구분 없음/40세 이상/특별미션,13;21;3;6;9,3;6;13
g_g012196,G06,g012196,11;24;4;6,2023-09-16,2023-09-17,,충남 방문/거주지 구분 없음/40세 이상/특별미션,11;24;4;6,3;11;6
g_g012197,G05,g012197,3;4;6;9;13;22;25;6,2023-09-16,2023-09-17,,충북 방문/거주지 구분 없음/39세 이하/특별미션,3;4;6;9;13;22;25;6,21;25;22
g_g012199,G04,g012199,11;2;4;6;9,2023-09-10,2023-09-11,,충청권 방문/충청권 거주/40세 이상/자녀동반/일반미션,11;2;4;6;9,2;4;21
g_g012200,G03,g012200,6;1,2023-09-15,2023-09-16,,전라권 방문/호남권 거주/39세 이하/나홀로 여행/일반미션,6;1,6;22;24
g_g012201,G05,g012201,2;3;22,2023-09-09,2023-09-10,,충청권 방문/충청권 외 거주/39세 이하/부모 동반/일반미션,2;3;22,2;3;22
g_g012203,G04,g012203,11;24;28;7,2023-09-08,2023-09-09,,충청권 방문/충청권 외 거주/39세 이하/부모 동반/일반미션,11;24;28;7,28;5;9
g_g012205,G06,g012205,2;22;4,2023-09-16,2023-09-17,,충청권 방문/충청권 외 거주/39세 이하/커플/일반미션,2;22;4,2;1;6
g_g012207,G01,g012207,11;24;4;6,2023-09-09,2023-09-10,,전라권 방문/호남권 거주/39세 이하/자녀동반/일반미션,11;24;4;6,6;11;24
g_g012209,G06,g012209,21;22;3;6,2023-09-16,2023-09-17,,충청권 방문/충청권 외 거주/39세 이하/부부/일반미션,21;22;3;6,21;3;22
g_g012212,G02,g012212,1;13;24;3;4,2023-09-09,2023-09-10,대중교통 등,전라권 방문/호남권 거주/39세 이하/커플/일반미션,1;13;24;3;4,3;4;24
g_g012220,G05,g012220,2;3;5;6;21;22;24;26,2023-09-15,2023-09-16,자가용,충청권 방문/충청권 외 거주/39세 이하/3인 이상 친구/일반미션,2;3;5;6;21;22;24;26,2;21;22
g_g012226,G01,g012226,6;22;3,2023-09-08,2023-09-09,대중교통 등,광주 방문/거주지 구분 없음/39세 이하/특별미션,6;22;3,6;22;11
g_g012227,G07,g012227,12;2;22,2023-09-09,2023-09-10,자가용,충청권 방문/충청권 거주/39세 이하/3인 이상 친구/일반미션,12;2;22,2;12;22
g_g012228,G07,g012228,1;23,2023-09-09,2023-09-10,대중교통 등,충청권 방문/충청권 외 거주/39세 이하/나홀로 여행/일반미션,1;23,23;1;4
g_g012235,G05,g012235,11;2;3;6;9,2023-09-17,2023-09-18,자가용,충북 방문/거주지 구분 없음/39세 이하/특별미션,11;2;3;6;9,3;11;24
g_g012236,G06,g012236,21;22;24;26;27,2023-09-13,2023-09-14,자가용,충청권 방문/충청권 외 거주/39세 이하/나홀로 여행/일반미션,21;22;24;26;27,6;11;2
g_g012238,G05,g012238,2;21;24,2023-09-09,2023-09-10,자가용,충청권 방문/충청권 거주/39세 이하/부부/일반미션,2;21;24,3;21;22
g_g012239,G01,g012239,1;22;26;4;6,2023-09-09,2023-09-10,대중교통 등,전라권 방문/호남권 거주/39세 이하/커플/일반미션,1;22;26;4;6,1;22;26
g_g012240,G06,g012240,1;2,2023-09-10,2023-09-11,대중교통 등,충청권 방문/충청권 외 거주/39세 이하/나홀로 여행/일반미션,1;2,13;6;1
g_g012246,G02,g012246,21;22;26;3,2023-09-18,2023-09-19,자가용,전북 방문/거주지 구분 없음/40세 이상/특별미션,21;22;26;3,3;6;26
g_g012251,G04,g012251,2;9;1;6,2023-09-08,2023-09-09,대중교통 등,충청권 방문/충청권 외 거주/39세 이하/나홀로 여행/일반미션,2;9;1;6,2;6;1
g_g012254,G05,g012254,1;2;21;22;9,2023-09-17,2023-09-18,자가용,충북 방문/거주지 구분 없음/39세 이하/특별미션,1;2;21;22;9,2;3;11
g_g012255,G02,g012255,5;22;26;21,2023-09-10,2023-09-11,자가용,전라권 방문/호남권 거주/39세 이하/커플/일반미션,5;22;26;21,5;22;26
g_g012256,G03,g012256,1;2;3;5;6,2023-09-09,2023-09-10,자가용,전라권 방문/호남권 외 거주/40세 이상/나홀로 여행/일반미션,1;2;3;5;6,2;6;22
g_g012257,G06,g012257,1;2;3;4;5,2023-09-10,2023-09-11,자가용,충청권 방문/충청권 외 거주/39세 이하/부부/일반미션,1;2;3;4;5,5;24;21
g_g012258,G04,g012258,1;2;24;26;6,2023-09-10,2023-09-11,자가용,대전 방문/거주지 구분 없음/40세 이상/특별미션,1;2;24;26;6,1;4;9
g_g012260,G07,g012260,1;2,2023-09-13,2023-09-14,자가용,충청권 방문/충청권 거주/40세 이상/자녀동반/일반미션,1;2,22;2;5
g_g012261,G07,g012261,1;11;21;24;26,2023-09-07,2023-09-08,대중교통 등,충청권 방문/충청권 외 거주/39세 이하/나홀로 여행/일반미션,1;11;21;24;26,11;26;21
g_g012267,G04,g012267,1;2;3;4;6,2023-09-08,2023-09-09,자가용,대전 방문/거주지 구분 없음/39세 이하/특별미션,1;2;3;4;6,22;26;2
g_g012269,G06,g012269,1;21;3;4;6,2023-09-12,2023-09-13,자가용,충청권 방문/충청권 외 거주/39세 이하/커플/일반미션,1;21;3;4;6,3;6;24
g_g012270,G04,g012270,1;26;3;4,2023-09-13,2023-09-14,대중교통 등,충청권 방문/충청권 외 거주/39세 이하/커플/일반미션,1;26;3;4,22;6;1
g_g012276,G07,g012276,22;26,2023-09-17,2023-09-18,자가용,충남 방문/거주지 구분 없음/39세 이하/특별미션,22;26,4;2;1
g_g012277,G04,g012277,1;3,2023-09-10,2023-09-11,자가용,충청권 방문/충청권 외 거주/39세 이하/자녀동반/일반미션,1;3,3;1;11
g_g012278,G07,g012278,2;26,2023-09-09,2023-09-10,자가용,충청권 방문/충청권 거주/39세 이하/커플/일반미션,2;26,2;26;4
g_g012280,G02,g012280,4;22;3;1,2023-09-08,2023-09-09,,전라권 방문/호남권 외 거주/39세 이하/부부/일반미션,4;22;3;1,6;3;1
g_g012282,G07,g012282,4;6,2023-09-11,2023-09-12,,충청권 방문/충청권 거주/39세 이하/3대 동반 여행/일반미션,4;6,4;6;27
g_g012283,G03,g012283,2;24;6,2023-09-16,2023-09-17,,전라권 방문/호남권 거주/39세 이하/3인 이상 친구/일반미션,2;24;6,6;24;22
g_g012289,G02,g012289,12;2;22;3;6,2023-09-16,2023-09-17,대중교통 등,전라권 방문/호남권 거주/39세 이하/커플/일반미션,12;2;22;3;6,6;3;22
g_g012300,G03,g012300,21;22;24;4,2023-09-17,2023-09-18,자가용,전라권 방문/호남권 거주/39세 이하/나홀로 여행/일반미션,21;22;24;4,21;24;1
g_g012304,G05,g012304,12;2;21;3;5,2023-09-09,2023-09-10,대중교통 등,충청권 방문/충청권 거주/39세 이하/커플/일반미션,12;2;21;3;5,3;12;21
g_g012307,G04,g012307,1;10;2;22;6,2023-09-12,2023-09-13,대중교통 등,충청권 방문/충청권 거주/39세 이하/나홀로 여행/일반미션,1;10;2;22;6,6;1;2
g_g012308,G06,g012308,21;22;23;24;26,2023-09-09,2023-09-10,자가용,충남 방문/거주지 구분 없음/39세 이하/특별미션,21;22;23;24;26,22;24;26
g_g012311,G06,g012311,3;4;6,2023-09-14,2023-09-15,자가용,충청권 방문/충청권 외 거주/40세 이상/나홀로 여행/일반미션,3;4;6,3;4;6
g_g012314,G01,g012314,1;6;12;22;25,2023-09-13,2023-09-14,자가용,전라권 방문/호남권 거주/39세 이하/부모 동반/일반미션,1;6;12;22;25,6;12;25
g_g012316,G07,g012316,2;26;27;6,2023-09-10,2023-09-11,자가용,충남 방문/거주지 구분 없음/39세 이하/특별미션,2;26;27;6,2;6;27
g_g012318,G07,g012318,2;24,2023-09-09,2023-09-10,대중교통 등,충남 방문/거주지 구분 없음/39세 이하/특별미션,2;24,2;24;1
g_g012323,G07,g012323,2;22;24,2023-09-09,2023-09-10,자가용,충청권 방문/충청권 거주/40세 이상/자녀동반/일반미션,2;22;24,2;22;24
g_g012325,G06,g012325,2;3,2023-09-09,2023-09-10,자가용,충청권 방문/충청권 거주/39세 이하/자녀동반/일반미션,2;3,3;11;22
