VISIT_AREA_ID,TRAVEL_ID,VISIT_ORDER,VISIT_AREA_NM,VISIT_START_YMD,VISIT_END_YMD,ROAD_NM_ADDR,LOTNO_ADDR,X_COORD,Y_COORD,ROAD_NM_CD,LOTNO_CD,POI_ID,POI_NM,RESIDENCE_TIME_MIN,VISIT_AREA_TYPE_CD,REVISIT_YN,VISIT_CHC_REASON_CD,LODGING_TYPE_CD,DGSTFN,REVISIT_INTENTION,RCMDTN_INTENTION,SGG_CD
2208200008,b_b002168,8,드래곤스트라이크,2022-08-20,2022-08-20,강원 평창군 대관령면 올림픽로 715,강원 평창군 대관령면 용산리 125-1,128.6821804,37.64525598,, ,POI010000006B7P1A,용평리조트,60,6,N,11,,4,3,3,
2210300003,b_b008066,9,집,2022-10-30,2022-10-31,,,,,,,,,240,21,,,,,,,27230
2210020001,b_b004323,1,집,2022-10-02,2022-10-02,,,,,,4719011000,POI01000000C2KFMV,혜성골드타운/2동,,21,,,,,,,
2210020005,b_b004573,5,봉평전통시장,2022-10-02,2022-10-02,,강원 평창군 봉평면 창동리 280-6,128.3776516,37.61536762,,,,,30,4,N,1,,2,2,2,
2208280005,b_b001740,18,환호공원 포항시립미술관,2022-08-28,2022-08-28,경북 포항시 북구 환호공원길 10,경북 포항시 북구 환호동 352,129.3911647,36.06651323,,,,,30,3,N,9,,5,5,5,
2209240004,b_b003940,9,일광해수욕장,2022-09-24,2022-09-24,,부산 기장군 일광읍 삼성리 116-9,129.2337567,35.25990676,,,,,120,1,N,1,,5,5,5,
2210020003,b_b005083,3,현풍백년도깨비시장 청년몰,2022-10-02,2022-10-02,대구 달성군 현풍읍 현풍로6길 5,대구 달성군 현풍읍 원교리 12-20,128.4422292,35.69476073,,,POI01000000BSJGQO,현풍백년도깨비시장,30,4,Y,4,,5,5,5,
2210080009,b_b004443,8,달성공원 동물원,2022-10-08,2022-10-08,대구 중구 달성공원로 35,대구 중구 달성동 294-1,128.5771693,35.87341128,,,,,120,6,N,2,,5,5,5,
2210150005,b_b008075,5,대포항,2022-10-15,2022-10-15,,강원 속초시 대포동,128.6091312,38.1722271,,,,,90,1,N,11,,4,4,4,
2209080002,b_b001360,6,불국사,2022-09-08,2022-09-08,경북 경주시 불국로 385,경북 경주시 진현동 15-1,129.3318426,35.78991466,,,POI01000000BWMXWI,신라교,90,2,Y,10,,4,4,5,
2208190011,b_b002635,10,한낮의바다,2022-08-19,2022-08-19,강원 강릉시 강릉대로159번안길 12,강원 강릉시 교동 923-1,128.8890922,37.75773486,,,POI010000006B3ZR6,꿈꾸는피아노교습소,30,10,Y,4,,5,5,5,
2208260005,b_b000169,7,동궁과월지,2022-08-26,2022-08-26,경북 경주시 원화로 102,경북 경주시 인왕동 506-1,129.2269755,35.83477626,,,,,60,2,Y,1,,3,4,4,
2208190006,b_b002927,5,망상해변,2022-08-19,2022-08-19,강원 동해시 동해대로 6270-10,강원 동해시 망상동 393-100,129.0904735,37.59337394,,,,,30,1,Y,5,,4,4,4,
2209250003,a_a000316,13,주문진해변,2022-09-25,2022-09-25,,강원 강릉시 주문진읍 향호리 8-35,128.8187802,37.91111952,,,POI01000000BXPQCV,주문진해수욕장,60,1,N,1,,3,3,3,
2208240007,b_b000168,19,곰돌이왕만두,2022-08-24,2022-08-24,강원 강릉시 금성로13번길 12-1,강원 강릉시 성남동 54-1,128.8996091,37.75360025,,,,,30,11,N,9,,5,5,5,
2209020001,b_b001283,17,황남관,2022-09-02,2022-09-03,경북 경주시 포석로 1038,경북 경주시 황남동 325-6,129.2097074,35.83359221,,,POI01000000B85K8C,황남관한옥체험마을,90,24,N,2,6,2,1,1,
2208190004,b_b002545,3,신해운대역,2022-08-19,2022-08-19,부산 해운대구 장산로 427,부산 해운대구 좌동 138-4,129.1771499,35.18164309,,,,,30,3,N,6,,5,5,5,
2210120008,b_b004961,8,강릉중앙시장,2022-10-12,2022-10-12,강원 강릉시 금성로 21,강원 강릉시 성남동 50,128.8986238,37.75402512,,,POI01000000BXPOZG,중앙시장,60,4,Y,1,,4,5,5,
2208200003,b_b001761,12,석굴암,2022-08-20,2022-08-20,경북 경주시 석굴로 238,경북 경주시 진현동 999,129.3505207,35.79524166,,,,,60,2,Y,4,,4,3,3,
2208200001,b_b000748,7,놀자펜션,2022-08-20,2022-08-21,강원 삼척시 근덕면 삼척로 2104,강원 삼척시 근덕면 장호리 208-9,129.3126798,37.28378266,,,POI01000000DC01K6,놀자FS,360,24,N,5,3,3,2,3,
2210220004,b_b005253,11,중국집본가,2022-10-22,2022-10-22,경북 문경시 당교12길 5-11,,,,,,,,60,11,N,6,,5,5,5,47280
2210260003,b_b011470,3,진주중앙시장,2022-10-26,2022-10-26,경남 진주시 진양호로 553,경남 진주시 대안동 8-568,128.0857235,35.19368544,,,POI010000006YTPJ1,진주논개시장,30,4,N,1,,5,5,5,
2210300004,b_b012529,11,세라젬웰카페 남양주다산지금직영점,2022-10-30,2022-10-30,경기 남양주시 다산지금로 139,경기 남양주시 다산동 6216-4,127.1743425,37.60068463,,,POI01000000B1TDDR,영신프라자,30,11,Y,4,,4,4,4,
2210090003,b_b005350,19,할매팥빙수단팥죽 용호동본점,2022-10-09,2022-10-09,부산 남구 용호로90번길 24,부산 남구 용호동 148-2,129.1110414,35.12415606,,,POI01000000C9CTUG,삼성맨션,30,10,N,1,,5,5,5,
2210300001,b_b015213,6,지테토,2022-10-30,2022-10-30,강원 속초시 청초호반로 229-1,강원 속초시 교동 664-52,128.5828125,38.19941847,,,,,30,10,N,1,,5,5,5,
2210300007,b_b015427,19,부산서부버스터미널,2022-10-30,2022-10-30,부산 사상구 사상로 201,부산 사상구 괘법동 533-6,128.9825254,35.16323947,,,POI01000000EHBWRP,서부버스터미널,30,9,Y,11,,5,5,5,
2209160002,b_b004008,2,KFC,2022-09-16,2022-09-16,해밀예당1로 28 진접농협 연평지점 1층 일부,,,,,,POI01000000B2069O,진접농협연평지점,30,11,Y,11,,5,5,5,41360
2211040003,b_b015584,3,초량차이나타운,2022-11-04,2022-11-04,,부산 동구 초량동 1109,129.0379346,35.11369082,,,,,30,4,N,1,,4,4,3,
2208110002,b_b000476,32,경포대.참소리박물관 정류장,2022-08-11,2022-08-11,,강원도 강릉시 저동,128.897182,37.795392,,,,,30,9,Y,11,,3,3,1,42150
2210170001,b_b008056,1,집,2022-10-17,2022-10-17,,,,,,2818510500,POI01000000BGJBTA,인천역,,21,,,,,,,
2208210004,b_b001456,17,신세계백화점 센텀시티점,2022-08-21,2022-08-21,부산 해운대구 센텀남대로 35,부산 해운대구 우동 1495,129.1290717,35.16864393,,,POI01000000950W39,금강제화,0,4,Y,1,,3,4,4,
2210210006,b_b009461,6,흰여울문화마을,2022-10-21,2022-10-21,,부산 영도구 영선동4가 1044-6,129.0452814,35.07791483,,,,,90,7,N,1,,4,3,4,
2210230002,b_b010769,7,수목원가든,2022-10-23,2022-10-23,경남 진주시 이반성면 대천길155번길 17,경남 진주시 이반성면 대천리 31-7,128.3078017,35.15608114,,,,,60,11,N,2,,5,5,4,
2210080006,b_b005040,6,집,2022-10-08,2022-10-09,,,,,,2632010300,POI01000000DM4BKU,벽산라인훼미리타운/경비실,240,21,,,,,,,
2208190004,b_b003013,3,카페 말루비아,2022-08-19,2022-08-19,부산 수영구 수영로408번길 65,부산 수영구 남천동 171,129.1114439,35.14072219,,,,,60,11,N,2,,5,5,5,
2209100003,a_a001597,12,집,2022-09-10,2022-09-11,,,,,,,,,150,21,,,,,,,41463
2208220003,b_b003288,17,청년분식,2022-08-22,2022-08-22,경북 경주시 포석로 1093,경북 경주시 황남동 273-4,129.2097389,35.83871678,,,,,0,11,N,9,,3,2,3,
2210090002,b_b004883,10,친인척집,2022-10-09,2022-10-10,충남 보령시 봉황로 116,충남 보령시 죽정동 743,126.5954082,36.35969805,,,POI01000000C2YUUW,대우아파트/104동,210,22,,,,,,,
2211060003,b_b015882,2,천주교성지 원주 용소막 성당,2022-11-06,2022-11-06,구학산로 1857(용암리 719-2번지),,,,,,POI01000000BGFN9Y,원주용소막성당,60,2,N,10,,5,4,4,42130
2209240008,b_b004087,8,송정 제타-감동호텔,2022-09-24,2022-09-24,,,,,,,,,150,24,N,7,2,5,5,5,26350
2211040001,b_b011596,1,집,2022-11-04,2022-11-04,,,,,,,,,,21,,,,,,,41111
