TRAVEL_ID,TRAVEL_NM,TRAVELER_ID,TRAVEL_PURPOSE,TRAVEL_START_YMD,TRAVEL_END_YMD,MVMN_NM,TRAVEL_PERSONA,TRAVEL_MISSION,TRAVEL_MISSION_CHECK
f_f004736,F06,f004736,21;22,2023-07-23,2023-07-25,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/특별미션",21;22,21;22;4
f_f004804,F01,f004804,13;24;3;4,2023-07-25,2023-07-27,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/부모 동반/일반미션",13;24;3;4,13;3;1
f_f004859,H02,f004859,5;8,2023-07-29,2023-07-30,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/자녀동반/일반미션",5;8,5;11;8
f_f004925,H02,f004925,2;22,2023-07-28,2023-07-29,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/특별미션",2;22,6;26;11
f_f004926,H02,f004926,10;2;21;4;5,2023-08-06,2023-08-08,자가용,"제주,도서지역 방문/거주지 구분 없음/40세 이상/3대 동반 여행/일반미션",10;2;21;4;5,2;21;10
f_f004927,H02,f004927,1;22;23;5,2023-08-05,2023-08-07,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/특별미션",1;22;23;5,5;2;23
f_f004983,H02,f004983,1;10;2;21;22,2023-08-01,2023-08-03,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/커플/일반미션",1;10;2;21;22,2;1;26
f_f005000,H02,f005000,21;23;26;27;28,2023-08-01,2023-08-03,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/특별미션",21;23;26;27;28,22;23;26
f_f005025,F06,f005025,1;2;21;22;23,2023-07-31,2023-08-02,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/부부/일반미션",1;2;21;22;23,22;23;24
f_f005026,H02,f005026,1;22;3,2023-07-31,2023-08-02,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/특별미션",1;22;3,3;1;21
f_f005072,H02,f005072,21;22;5,2023-08-06,2023-08-08,자가용,"제주,도서지역 방문/거주지 구분 없음/40세 이상/3대 동반 여행/일반미션",21;22;5,21;6;22
f_f005087,F06,f005087,22;28;4,2023-08-20,2023-08-22,자가용,"제주,도서지역 방문/거주지 구분 없음/40세 이상/3인 이상 친구/일반미션",22;28;4,21;22;26
f_f005101,F06,f005101,21;22;5,2023-08-17,2023-08-19,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/특별미션",21;22;5,22;21;1
f_f005165,F06,f005165,2;3;21;22;26;28,2023-08-28,2023-08-30,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/나홀로 여행/일반미션",2;3;21;22;26;28,2;22;26
f_f005175,F01,f005175,1;4;5;7;9;12;21;22;23;24;26,2023-08-02,2023-08-04,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/커플/일반미션",1;4;5;7;9;12;21;22;23;24;26,23;22;1
f_f005277,H02,f005277,22,2023-08-02,2023-08-04,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/특별미션",22,22;23;6
f_f005286,F01,f005286,1;22;25;4,2023-08-15,2023-08-17,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/특별미션",1;22;25;4,25;4;1
f_f005335,H02,f005335,1;22;23;5;7,2023-08-02,2023-08-04,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/특별미션",1;22;23;5;7,21;1;7
f_f005352,F01,f005352,1;21;22;23;4,2023-08-19,2023-08-21,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/특별미션",1;21;22;23;4,26;1;5
f_f005354,F01,f005354,10;22;23;26;5,2023-08-22,2023-08-24,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/커플/일반미션",10;22;23;26;5,5;21;22
f_f005373,F01,f005373,1;2;3;4;5,2023-08-19,2023-08-21,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/부모 동반/일반미션",1;2;3;4;5,5;22;2
f_f005375,F01,f005375,1;22;26;5;8,2023-08-26,2023-08-28,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/3인 이상 친구/일반미션",1;22;26;5;8,5;8;6
f_f005380,F01,f005380,1;12;4;5;9,2023-08-19,2023-08-21,자가용,"제주,도서지역 방문/거주지 구분 없음/40세 이상/3인 이상 친구/일반미션",1;12;4;5;9,1;5;9
f_f005404,H02,f005404,22;24;27;5;8,2023-08-03,2023-08-05,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/특별미션",22;24;27;5;8,5;22;3
f_f005411,H02,f005411,22;23;4,2023-08-05,2023-08-07,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/커플/일반미션",22;23;4,22;23;4
f_f005461,F06,f005461,1;13;23;26;3,2023-08-15,2023-08-17,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/부부/일반미션",1;13;23;26;3,23;5;2
f_f005486,H02,f005486,2;6;24,2023-08-07,2023-08-09,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/특별미션",2;6;24,6;2;24
f_f005522,H02,f005522,1;21;22;26;27,2023-08-11,2023-08-13,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/커플/일반미션",1;21;22;26;27,1;3;22
f_f005534,H02,f005534,21,2023-08-07,2023-08-09,자가용,"제주,도서지역 방문/거주지 구분 없음/40세 이상/특별미션",21,21;24;26
f_f005537,H02,f005537,3;4;5;24;23,2023-08-11,2023-08-13,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/부부/일반미션",3;4;5;24;23,5;3;4
f_f005555,F01,f005555,10;21;22;23;7,2023-08-18,2023-08-20,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/특별미션",10;21;22;23;7,2;10;22
f_f005568,H02,f005568,1;22;23;26;7,2023-08-07,2023-08-09,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/커플/일반미션",1;22;23;26;7,1;4;22
f_f005665,H02,f005665,1;21;22;4,2023-08-06,2023-08-07,자가용,"제주,도서지역 방문/거주지 구분 없음/40세 이상/특별미션",1;21;22;4,4;6;21
f_f005696,H02,f005696,2;5,2023-08-07,2023-08-08,자가용,"제주,도서지역 방문/거주지 구분 없음/40세 이상/자녀동반/일반미션",2;5,2;24;5
f_f005706,H02,f005706,21;6;24;22,2023-08-13,2023-08-15,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/특별미션",21;6;24;22,21;24;3
f_f005722,H02,f005722,22,2023-08-06,2023-08-08,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/특별미션",22,22;23;4
f_f005745,H02,f005745,1;2;4;5;6,2023-08-12,2023-08-13,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/커플/일반미션",1;2;4;5;6,2;6;22
f_f005820,H02,f005820,1;12;2;22;6,2023-08-11,2023-08-13,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/커플/일반미션",1;12;2;22;6,1;6;26
f_f005826,F06,f005826,10;11;2;22;5,2023-09-01,2023-09-03,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/커플/일반미션",10;11;2;22;5,3;5;22
f_f006011,F01,f006011,22;26;5;9,2023-08-25,2023-08-27,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/부모 동반/일반미션",22;26;5;9,5;22;26
f_f006012,F06,f006012,1;2;22;3,2023-08-19,2023-08-21,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/3인 이상 친구/일반미션",1;2;22;3,4;2;24
f_f006040,F06,f006040,2;22;26;21,2023-08-19,2023-08-21,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/커플/일반미션",2;22;26;21,22;2;1
f_f006152,F01,f006152,22;24;6,2023-08-26,2023-08-28,자가용,"제주,도서지역 방문/거주지 구분 없음/40세 이상/자녀동반/일반미션",22;24;6,22;24;26
f_f006190,F06,f006190,10;22;24;5;7,2023-08-19,2023-08-21,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/커플/일반미션",10;22;24;5;7,5;22;1
f_f006202,H02,f006202,24;25;27,2023-08-12,2023-08-14,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/특별미션",24;25;27,25;24;27
f_f006204,H02,f006204,3;22;23;4;1;21,2023-08-12,2023-08-14,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/커플/일반미션",3;22;23;4;1;21,9;22;23
f_f006208,F04,f006208,22;23;24;26;9,2023-08-12,2023-08-14,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/커플/일반미션",22;23;24;26;9,6;9;26
f_f006217,F01,f006217,22;23;5,2023-08-15,2023-08-17,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/3인 이상 친구/일반미션",22;23;5,5;22;23
f_f006256,F06,f006256,5;26;24;22;12;23,2023-08-24,2023-08-26,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/커플/일반미션",5;26;24;22;12;23,22;23;26
f_f006515,H02,f006515,1;2;21;26;6,2023-08-12,2023-08-14,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/자녀동반/일반미션",1;2;21;26;6,21;22;26
f_f006535,F01,f006535,1;2;5;6;9,2023-08-19,2023-08-21,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/특별미션",1;2;5;6;9,9;21;22
