TRAVEL_ID,TRAVEL_NM,TRAVELER_ID,TRAVEL_PURPOSE,TRAVEL_START_YMD,TRAVEL_END_YMD,MVMN_NM,TRAVEL_PERSONA,TRAVEL_MISSION,TRAVEL_MISSION_CHECK
e_e007794,E03,e007794,22;4;6,2023-08-20,2023-08-21,,서울 외 수도권 방문/수도권 거주/40세 이상/자녀동반/일반미션,22;4;6,11;9;22
e_e007796,E03,e007796,11;21;24;27;5,2023-08-27,2023-08-28,,서울 외 수도권 방문/수도권 거주/40세 이상/자녀동반/일반미션,11;21;24;27;5,21;11;1
e_e007797,E03,e007797,2;3;4;6;9,2023-08-31,2023-09-01,,서울 외 수도권 방문/수도권 거주/39세 이하/나홀로 여행/일반미션,2;3;4;6;9,3;21;12
e_e007800,E03,e007800,2;6;11;22;24;26;4,2023-08-26,2023-08-27,,서울 외 수도권 방문/수도권 거주/39세 이하/자녀동반/일반미션,2;6;11;22;24;26;4,11;1;24
e_e007802,E03,e007802,2;21;26;3,2023-08-21,2023-08-22,,서울 외 수도권 방문/수도권 거주/39세 이하/커플/일반미션,2;21;26;3,2;3;21
e_e007803,E01,e007803,21;22;27;28;5,2023-08-20,2023-08-21,,서울 방문/수도권 거주/40세 이상/나홀로 여행/일반미션,21;22;27;28;5,28;21;6
e_e007804,E03,e007804,2;4,2023-08-19,2023-08-20,,서울 외 수도권 방문/수도권 거주/39세 이하/자녀동반/일반미션,2;4,2;11;26
e_e007806,E03,e007806,2;22;4,2023-08-20,2023-08-21,,서울 외 수도권 방문/수도권 거주/39세 이하/자녀동반/일반미션,2;22;4,2;1;22
e_e007807,E01,e007807,22;24;28;3;4,2023-08-22,2023-08-23,,서울 방문/수도권 거주/40세 이상/커플/일반미션,22;24;28;3;4,4;3;21
e_e007809,E01,e007809,11;4,2023-08-20,2023-08-21,,서울 방문/수도권 거주/40세 이상/자녀동반/일반미션,11;4,1;11;3
e_e007812,E01,e007812,21;22;4;5,2023-08-26,2023-08-27,,서울 방문/수도권 거주/40세 이상/3대 동반 여행/일반미션,21;22;4;5,4;1;21
e_e007815,E03,e007815,2;4;7,2023-08-21,2023-08-22,,서울 외 수도권 방문/수도권 거주/39세 이하/자녀동반/일반미션,2;4;7,2;11;1
e_e007816,E03,e007816,11;2;21;22;4,2023-08-26,2023-08-27,,서울 외 수도권 방문/수도권 거주/39세 이하/나홀로 여행/일반미션,11;2;21;22;4,26;2;1
e_e007817,E03,e007817,2;3;4,2023-08-27,2023-08-28,,서울 외 수도권 방문/수도권 거주/40세 이상/3인 이상 친구/일반미션,2;3;4,1;2;22
e_e007818,E03,e007818,4;6,2023-08-19,2023-08-20,,서울 외 수도권 방문/수도권 거주/39세 이하/자녀동반/일반미션,4;6,1;6;4
e_e007819,E01,e007819,4;6;21;1,2023-08-26,2023-08-27,,서울 방문/거주지 구분 없음/39세 이하/특별미션,4;6;21;1,4;1;12
e_e007821,E02,e007821,21;22;4,2023-08-19,2023-08-20,,서울 외 수도권 방문/수도권 거주/40세 이상/자녀동반/일반미션,21;22;4,21;22;4
e_e007822,E03,e007822,11;4;6,2023-08-19,2023-08-20,,서울 외 수도권 방문/수도권 거주/39세 이하/자녀동반/일반미션,11;4;6,11;6;1
e_e007825,E03,e007825,2;22;6,2023-08-20,2023-08-21,,서울 외 수도권 방문/수도권 거주/39세 이하/부부/일반미션,2;22;6,27;21;1
e_e007826,E03,e007826,2;5;22;26;4,2023-08-20,2023-08-21,,서울 외 수도권 방문/수도권 거주/40세 이상/자녀동반/일반미션,2;5;22;26;4,2;22;26
e_e007829,E03,e007829,1;12;22;4;6,2023-08-20,2023-08-21,,서울 외 수도권 방문/수도권 거주/39세 이하/나홀로 여행/일반미션,1;12;22;4;6,12;26;22
e_e007831,E01,e007831,4;22;4,2023-08-26,2023-08-27,,서울 방문/수도권 거주/39세 이하/자녀동반/일반미션,4;22;4,2;4;22
e_e007832,E03,e007832,2;3;4;5;6,2023-08-19,2023-08-20,,서울 외 수도권 방문/수도권 거주/39세 이하/자녀동반/일반미션,2;3;4;5;6,2;24;27
e_e007833,E02,e007833,11;2;3;4,2023-08-20,2023-08-21,,서울 외 수도권 방문/수도권 거주/39세 이하/자녀동반/일반미션,11;2;3;4,3;11;2
e_e007834,E03,e007834,3;6;2,2023-08-26,2023-08-27,,서울 외 수도권 방문/수도권 거주/40세 이상/커플/일반미션,3;6;2,3;6;21
e_e007835,E02,e007835,21;22;26;4;6,2023-08-26,2023-08-27,,서울 외 수도권 방문/수도권 거주/39세 이하/나홀로 여행/일반미션,21;22;26;4;6,4;21;22
e_e007836,E03,e007836,4,2023-08-19,2023-08-20,,서울 외 수도권 방문/수도권 외 거주/40세 이상/자녀동반/일반미션,4,1;4;21
e_e007837,E01,e007837,11;3;4;6,2023-08-19,2023-08-20,,서울 방문/수도권 거주/40세 이상/자녀동반/일반미션,11;3;4;6,6;4;3
e_e007838,E01,e007838,1;22;24;6,2023-08-28,2023-08-29,,서울 방문/수도권 외 거주/39세 이하/나홀로 여행/일반미션,1;22;24;6,6;22;3
e_e007839,E01,e007839,4;7;27;1,2023-08-19,2023-08-20,,서울 방문/수도권 외 거주/39세 이하/나홀로 여행/일반미션,4;7;27;1,21;4;24
e_e007845,E03,e007845,1;28;3,2023-08-20,2023-08-21,,서울 외 수도권 방문/수도권 거주/40세 이상/나홀로 여행/일반미션,1;28;3,3;6;26
e_e007847,E03,e007847,2;4;5,2023-08-26,2023-08-27,,서울 외 수도권 방문/수도권 거주/40세 이상/자녀동반/일반미션,2;4;5,2;24;5
e_e007848,E02,e007848,12;2;22;4,2023-08-19,2023-08-20,,서울 외 수도권 방문/수도권 거주/39세 이하/커플/일반미션,12;2;22;4,4;1;22
e_e007850,E03,e007850,2;21;22;6,2023-08-19,2023-08-20,,경기 방문/거주지 구분 없음/39세 이하/특별미션,2;21;22;6,2;6;22
e_e007851,E03,e007851,12;2;3;6,2023-08-19,2023-08-20,,서울 외 수도권 방문/수도권 거주/39세 이하/커플/일반미션,12;2;3;6,11;22;21
e_e007852,E03,e007852,2;4;9;22;26;27;6,2023-08-29,2023-08-30,,서울 외 수도권 방문/수도권 거주/40세 이상/커플/일반미션,2;4;9;22;26;27;6,22;27;1
e_e007853,E01,e007853,6;4,2023-08-19,2023-08-20,,서울 방문/수도권 거주/40세 이상/자녀동반/일반미션,6;4,1;6;24
e_e007856,E03,e007856,9;21;24;2,2023-08-20,2023-08-21,,서울 외 수도권 방문/수도권 거주/39세 이하/커플/일반미션,9;21;24;2,1;11;22
e_e007858,E03,e007858,24;3;5,2023-08-27,2023-08-28,,서울 외 수도권 방문/수도권 거주/39세 이하/3인 이상 친구/일반미션,24;3;5,5;22;21
e_e007860,E01,e007860,21;6,2023-08-20,2023-08-21,,서울 방문/수도권 거주/40세 이상/부부/일반미션,21;6,1;6;21
e_e007861,E03,e007861,11;4,2023-08-20,2023-08-21,,서울 외 수도권 방문/수도권 거주/39세 이하/자녀동반/일반미션,11;4,9;11;4
e_e007862,E02,e007862,2;4;6,2023-08-26,2023-08-27,,서울 외 수도권 방문/수도권 거주/40세 이상/커플/일반미션,2;4;6,3;4;6
e_e007863,E03,e007863,1;22;4,2023-08-23,2023-08-24,,서울 외 수도권 방문/수도권 거주/40세 이상/나홀로 여행/일반미션,1;22;4,1;4;21
e_e007866,E01,e007866,1;4,2023-08-26,2023-08-27,,서울 방문/수도권 거주/39세 이하/나홀로 여행/일반미션,1;4,1;2;5
e_e007867,E03,e007867,21;6,2023-08-26,2023-08-27,,경기 방문/거주지 구분 없음/40세 이상/특별미션,21;6,21;4;24
e_e007868,E03,e007868,1;27;28,2023-08-20,2023-08-21,,경기 방문/거주지 구분 없음/39세 이하/특별미션,1;27;28,5;28;27
e_e007869,E03,e007869,2;6,2023-08-29,2023-08-30,,서울 외 수도권 방문/수도권 거주/40세 이상/부부/일반미션,2;6,6;21;26
e_e007870,E03,e007870,22;7,2023-08-25,2023-08-26,,경기 방문/거주지 구분 없음/40세 이상/특별미션,22;7,22;13;1
e_e007871,E01,e007871,3;4;11;22;4,2023-08-27,2023-08-28,,서울 방문/수도권 거주/40세 이상/자녀동반/일반미션,3;4;11;22;4,3;4;22
e_e007872,E01,e007872,11;4;6,2023-08-20,2023-08-21,,서울 방문/수도권 거주/40세 이상/자녀동반/일반미션,11;4;6,11;22;3
e_e007875,E01,e007875,4;6,2023-08-19,2023-08-20,,서울 방문/수도권 거주/40세 이상/자녀동반/일반미션,4;6,6;1;4
e_e007876,E03,e007876,21;22;26;5,2023-08-26,2023-08-27,,서울 외 수도권 방문/수도권 거주/40세 이상/3대 동반 여행/일반미션,21;22;26;5,21;24;22
e_e007878,E03,e007878,2;3,2023-08-26,2023-08-27,,서울 외 수도권 방문/수도권 거주/39세 이하/자녀동반/일반미션,2;3,2;7;1
e_e007879,E01,e007879,4,2023-08-26,2023-08-27,,서울 방문/수도권 거주/40세 이상/자녀동반/일반미션,4,1;7;11
e_e007882,E03,e007882,5;6,2023-08-19,2023-08-20,,서울 외 수도권 방문/수도권 거주/39세 이하/부부/일반미션,5;6,5;6;24
e_e007883,E03,e007883,2;24;6,2023-08-31,2023-09-01,,서울 외 수도권 방문/수도권 거주/39세 이하/커플/일반미션,2;24;6,6;24;1
e_e007885,E03,e007885,2;22;3;6,2023-08-20,2023-08-21,,경기 방문/거주지 구분 없음/40세 이상/특별미션,2;22;3;6,11;6;22
e_e007886,E01,e007886,25;2,2023-08-26,2023-08-27,,서울 방문/수도권 거주/40세 이상/커플/일반미션,25;2,25;24;2
e_e007890,E03,e007890,22;4,2023-08-26,2023-08-27,,서울 외 수도권 방문/수도권 거주/40세 이상/자녀동반/일반미션,22;4,22;24;26
e_e007895,E03,e007895,22;5,2023-08-24,2023-08-25,대중교통 등,서울 외 수도권 방문/수도권 거주/39세 이하/커플/일반미션,22;5,2;22;10
e_e007914,E03,e007914,11;21;27;3;6,2023-08-27,2023-08-28,대중교통 등,서울 외 수도권 방문/수도권 거주/39세 이하/커플/일반미션,11;21;27;3;6,3;6;12
e_e007925,E03,e007925,13;22;24;26;3,2023-08-21,2023-08-22,대중교통 등,서울 외 수도권 방문/수도권 거주/39세 이하/나홀로 여행/일반미션,13;22;24;26;3,13;3;24
e_e007937,E03,e007937,2;22,2023-08-24,2023-08-25,대중교통 등,경기 방문/거주지 구분 없음/39세 이하/특별미션,2;22,2;1;9
e_e007971,E03,e007971,5,2023-08-20,2023-08-21,자가용,서울 외 수도권 방문/수도권 거주/39세 이하/커플/일반미션,5,5;22;23
e_e007976,E03,e007976,1;4;6;26;22;9,2023-08-24,2023-08-25,자가용,경기 방문/거주지 구분 없음/40세 이상/특별미션,1;4;6;26;22;9,6;1;4
e_e007977,E03,e007977,21,2023-08-25,2023-08-26,대중교통 등,경기 방문/거주지 구분 없음/39세 이하/특별미션,21,21;2;24
e_e007979,E03,e007979,1;22;24;26,2023-08-20,2023-08-21,자가용,서울 외 수도권 방문/수도권 외 거주/39세 이하/나홀로 여행/일반미션,1;22;24;26,22;26;1
e_e007981,E03,e007981,1;22;24;26;7,2023-08-20,2023-08-21,자가용,서울 외 수도권 방문/수도권 거주/39세 이하/3인 이상 친구/일반미션,1;22;24;26;7,22;24;26
e_e007995,E03,e007995,4,2023-08-21,2023-08-22,대중교통 등,서울 외 수도권 방문/수도권 거주/39세 이하/나홀로 여행/일반미션,4,4;3;24
e_e008006,E02,e008006,22;24;6,2023-08-21,2023-08-22,대중교통 등,인천 방문/거주지 구분 없음/39세 이하/특별미션,22;24;6,22;24;26
e_e008007,E03,e008007,12;6;22;27;1;26,2023-09-02,2023-09-03,자가용,서울 외 수도권 방문/수도권 거주/39세 이하/커플/일반미션,12;6;22;27;1;26,1;6;27
e_e008027,E02,e008027,1;22;4,2023-08-20,2023-08-21,대중교통 등,서울 외 수도권 방문/수도권 거주/39세 이하/3인 이상 친구/일반미션,1;22;4,2;4;22
e_e008030,E01,e008030,1;22;26;4;6,2023-08-26,2023-08-27,대중교통 등,서울 방문/수도권 거주/39세 이하/커플/일반미션,1;22;26;4;6,1;5;13
e_e008053,E01,e008053,1;2;21;22;4,2023-08-25,2023-08-26,대중교통 등,서울 방문/수도권 거주/39세 이하/커플/일반미션,1;2;21;22;4,2;22;4
e_e008056,E03,e008056,1;10;2;22;6,2023-08-22,2023-08-23,자가용,경기 방문/거주지 구분 없음/39세 이하/특별미션,1;10;2;22;6,10;5;22
e_e008057,E01,e008057,1;6;22,2023-08-30,2023-08-31,대중교통 등,서울 방문/수도권 거주/39세 이하/커플/일반미션,1;6;22,6;1;22
e_e008069,E03,e008069,5;22;26;21,2023-08-27,2023-08-28,자가용,서울 외 수도권 방문/수도권 거주/39세 이하/3인 이상 친구/일반미션,5;22;26;21,5;22;26
